priority,item_id,product_name,image,reasons
"high","97f11603-d2dc-4afa-b674-042022b8b71a","A Thousand Wishes 2.5 FL EDP","/images/product-awaiting-photography.webp","official-packshot-required"
"high","7e2bf8db-41e6-4d4d-8c6e-72b8e1f3acab","Acqua Di Gio Giorgio Armani 0.5 + 2.5 FL Set","/images/product-awaiting-photography.webp","official-packshot-required"
"high","2f9ad3cd-4f2f-4074-8f0d-18ab5925c551","Al Haramain L’Aventure Rose 6.76 FL.OZ","/images/product-awaiting-photography.webp","official-packshot-required"
"high","669f1a82-13e5-4418-8856-c5791ffce253","Alfred Dunhill Desire Blue Men 3.3 EDT SP","/product-images/catalog-v2/669f1a82-13e5-4418-8856-c5791ffce253.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","c6f863d7-e497-463b-abb7-46564b06e7a7","Antonio Banderas Diavolo Men 3.4 EDT SP","/product-images/catalog-v2/c6f863d7-e497-463b-abb7-46564b06e7a7.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","ae59b0a3-ad8f-49f7-82ea-c8f70a7a4bef","Antonio Banderas Diavolo Mister 3.3oz EDT SP","/product-images/catalog-v2/ae59b0a3-ad8f-49f7-82ea-c8f70a7a4bef.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","26b0d00a-6fe7-4429-8320-e4ce9318471f","Armaf Club De Nuit Intense 6.8 oz EDP SP","/images/product-awaiting-photography.webp","official-packshot-required"
"high","a96ca6c9-f1bc-4f16-b562-21737a83b7f7","Aurum Privée Edit Al  Haramain- L'aventure Blanche  3.4 EDP SP","/product-images/catalog-v2/a96ca6c9-f1bc-4f16-b562-21737a83b7f7.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","2745b82c-e59b-4fc8-bcb5-e1f76a2e7eba","Aurum Privée Edit Armaf- Derby Club House Gold EDP 3.4","/product-images/catalog-v2/2745b82c-e59b-4fc8-bcb5-e1f76a2e7eba.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","41a8c80e-e3a5-47a9-974c-d5c7ca0a6052","Aurum Privée Edit BBW- Aromatherapy Bath Soak Lavender & Vanilla","/images/product-awaiting-photography.webp","official-packshot-required"
"high","e950b278-b732-463e-ad38-19f02ea2364f","Aurum Privée Edit BBW- Aromatherapy Hand Cream 1oz Lavender & Vanilla","/images/product-awaiting-photography.webp","official-packshot-required"
"high","e513553b-e26e-46d1-9912-2cfc57465d33","Aurum Privée Edit BBW- Aromatherapy Luxe Bath Lavender & Vanilla","/images/product-awaiting-photography.webp","official-packshot-required"
"high","269f8c22-92c4-404f-8f5c-98f4c0737ac5","Aurum Privée Edit BBW- Aromatherapy Stress Relief Lotion Eucalyptus & Spearmint","/images/product-awaiting-photography.webp","official-packshot-required"
"high","ec802444-b3d6-423f-a2e7-01a0b546749b","Aurum Privée Edit Bvlgari Splendida Jasmin Noir EDP sp 1.7oz","/product-images/catalog-v2/ec802444-b3d6-423f-a2e7-01a0b546749b.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","1a964d15-cdfc-4df7-8416-dce881fa847f","Aurum Privée Edit Carolina Herrera- 212 Nyc / EDT Spray 2.7 oz","/images/product-awaiting-photography.webp","official-packshot-required"
"high","6d2c6a1a-4255-454c-b882-6d7ef196e97f","Aurum Privée Edit Carolina Herrera- 212 Nyc Rose EDT Spray 2.7 oz","/images/product-awaiting-photography.webp","official-packshot-required"
"high","61813c99-a6c1-4e09-b0d4-d80d2c48bc42","Aurum Privée Edit Carolina Herrera- Men's Bad Boy Extreme EDP 1.7 oz","/product-images/catalog-v2/61813c99-a6c1-4e09-b0d4-d80d2c48bc42.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","d6e90732-7496-4a1f-bf06-4fa4a2ff93a8","Aurum Privée Edit Chloe 4 PC Mini Set","/product-images/catalog-v2/d6e90732-7496-4a1f-bf06-4fa4a2ff93a8.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","21a48bd9-2731-4855-9550-a699c1368dad","Aurum Privée Edit Chloe- L'eau De Chloe 1.6 EDT","/product-images/catalog-v2/21a48bd9-2731-4855-9550-a699c1368dad.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","71ee668c-dc86-4042-862e-9c41252bf7df","Aurum Privée Edit Chloe- Naturelle Woman 3.4 EDP SP","/product-images/catalog-v2/71ee668c-dc86-4042-862e-9c41252bf7df.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","cf5bdd68-41ed-4395-9ffc-9645e4bca056","Aurum Privée Edit Coach- Blue Men 2.0 EDT SP","/product-images/catalog-v2/cf5bdd68-41ed-4395-9ffc-9645e4bca056.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","23dbb2af-2532-4210-8b59-92582738c990","Aurum Privée Edit Coach- Floral Blush 3.0 EDP","/product-images/catalog-v2/23dbb2af-2532-4210-8b59-92582738c990.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","6da56f45-7f10-415a-9eed-265b83c08cdb","Aurum Privée Edit Coach- New York Men 1.3 EDT SP","/product-images/catalog-v2/6da56f45-7f10-415a-9eed-265b83c08cdb.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","18b9060d-f2c0-44ef-b019-90135749671d","Aurum Privée Edit DKNY- Be Delicious Fresh Blossom 3.3 EDP SP","/product-images/catalog-v2/18b9060d-f2c0-44ef-b019-90135749671d.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","cc5144ed-9db5-4c51-a8e3-df4f849f972f","Aurum Privée Edit Ed Hardy- Love & Luck Men 3.4 EDT SP","/product-images/catalog-v2/cc5144ed-9db5-4c51-a8e3-df4f849f972f.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","1cf3aacf-1f30-4fb2-bf74-c37e97dba413","Aurum Privée Edit Ed Hardy- Love & Luck Woman 3.4 EDP SP","/product-images/catalog-v2/1cf3aacf-1f30-4fb2-bf74-c37e97dba413.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","4a02c21c-d898-40c2-b921-ad5d2454a6d8","Aurum Privée Edit Elizabeth Arden- 5th Avenue 4.2 EDP SP","/product-images/catalog-v2/4a02c21c-d898-40c2-b921-ad5d2454a6d8.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","0710ecee-acf0-4f28-a0d8-e99b459f3a9d","Aurum Privée Edit Ellie Saab Le Parfum Lumiere EDP sp 3.0oz","/product-images/catalog-v2/0710ecee-acf0-4f28-a0d8-e99b459f3a9d.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","ec40956b-fb9e-4382-95f5-cfe1cfc0cc3b","Aurum Privée Edit Escada- Fairy Love EDT 3.3","/product-images/catalog-v2/ec40956b-fb9e-4382-95f5-cfe1cfc0cc3b.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","8b9a9b97-f76e-4852-bf6e-06b5e5357c85","Aurum Privée Edit Fatale Agent Provocateur","/images/product-awaiting-photography.webp","official-packshot-required"
"high","c5d6eb75-bcba-4a0e-bdb3-fed586f1e39d","Aurum Privée Edit Frozen Roll on Parfume","/product-images/catalog-v2/c5d6eb75-bcba-4a0e-bdb3-fed586f1e39d.webp","extreme-source-padding|very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","0660f9e6-085b-47eb-92e2-1922fc2a5d87","Aurum Privée Edit Giorgio Armani  My Way Nectar EDP 3.0oz","/product-images/catalog-v2/0660f9e6-085b-47eb-92e2-1922fc2a5d87.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","68e9835b-d7b3-432d-8254-af945363d509","Aurum Privée Edit Giorgio Armani- Armani  Diamonds  Men 2.5  EDT  SP","/images/product-awaiting-photography.webp","official-packshot-required"
"high","05e76da0-6c75-4163-9664-fcdd7fd20bbc","Aurum Privée Edit Givenchy Hot Couture EDP Spray 3.3","/product-images/catalog-v2/05e76da0-6c75-4163-9664-fcdd7fd20bbc.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","5e1f2109-5036-476d-8396-0c3023ae0d1f","Aurum Privée Edit Gucci Unisex Memoire D'Une Odeur EDP 3.3","/product-images/catalog-v2/5e1f2109-5036-476d-8396-0c3023ae0d1f.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","39d8f808-9c72-4d3b-8dec-20864409d4de","Aurum Privée Edit Hollister Canyon Escape EDP sp 3.4","/product-images/catalog-v2/39d8f808-9c72-4d3b-8dec-20864409d4de.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","328f638a-1361-4451-91a8-780b77617539","Aurum Privée Edit Hollister Festival Nite EDT sp 3.4oz","/product-images/catalog-v2/328f638a-1361-4451-91a8-780b77617539.webp","source-below-300px|replace-with-official-high-resolution-packshot"
"high","ec2fb779-5e64-4679-9a0b-b20e42ec4e95","Aurum Privée Edit Hollister Festival Vibes EDT sp 3.4oz","/product-images/catalog-v2/ec2fb779-5e64-4679-9a0b-b20e42ec4e95.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","c2c0cc52-3922-4001-adee-42b8b91e8a81","Aurum Privée Edit Jean Paul Gautlier Le Male Travel Exclusive 1.4oz","/images/product-awaiting-photography.webp","official-packshot-required"
"high","6fce90d4-fa08-40a8-baa0-3643a7e61bd2","Aurum Privée Edit Jean Paul Glautier- Men's Le Male Gift Set","/product-images/catalog-v2/6fce90d4-fa08-40a8-baa0-3643a7e61bd2.webp","very-low-detail|source-below-300px|replace-with-official-high-resolution-packshot"
"high","de0ff95c-710f-49a0-baf0-168515c3faad","Aurum Privée Edit Jessica Simpson  Ladies Fancy Love Body Mist 8 oz","/product-images/catalog-v2/de0ff95c-710f-49a0-baf0-168515c3faad.webp","source-below-300px|replace-with-official-high-resolution-packshot"
